narrative_id,rule_id,narrative_text,drug,food,symptom,event_1,event_2,event_3,temporal_order,inferred_reason,label_valid

N001,R002,"I took amoxicillin and then drank milk",amoxicillin,milk,,took_drug,drank_food,,drug_before_food,calcium_antibiotic,1
N002,R002,"After taking my antibiotic, I had a glass of milk",antibiotic,milk,,took_drug,drank_food,,drug_before_food,calcium_antibiotic,1
N003,R002,"I drank milk right after taking amoxicillin",amoxicillin,milk,,took_drug,drank_food,,drug_before_food,calcium_antibiotic,1
N004,R001,"I had yogurt after my antibiotic dose",antibiotic,yogurt,,took_drug,ate_food,,drug_before_food,calcium_antibiotic,1
N005,R001,"I took my antibiotic and ate yogurt soon after",antibiotic,yogurt,,took_drug,ate_food,,drug_before_food,calcium_antibiotic,1

N006,R003,"I took levothyroxine and later ate iron-rich food",levothyroxine,iron,,took_drug,ate_food,,drug_before_food,iron_levothyroxine,1
N007,R003,"After taking my thyroid medicine, I ate spinach with iron",levothyroxine,iron,,took_drug,ate_food,,drug_before_food,iron_levothyroxine,1
N008,R004,"I took levothyroxine and then had breakfast",levothyroxine,food,,took_drug,ate_food,,drug_before_food,absorption_issue,1

N009,R005,"I ate spinach while on warfarin",warfarin,spinach,,ate_food,,,food_only,vitk_warfarin,1
N010,R005,"I had a salad with leafy greens during warfarin treatment",warfarin,leafy greens,,ate_food,,,food_only,vitk_warfarin,1

N011,R007,"I took my sedative and drank alcohol at night",sedative,alcohol,,took_drug,drank_food,,drug_before_food,cns_alcohol,1
N012,R007,"I had alcohol after taking sleeping pills",sedative,alcohol,,took_drug,drank_food,,drug_before_food,cns_alcohol,1

N013,R010,"I took metformin and ate a high carb meal",metformin,high_carb,,took_drug,ate_food,,drug_before_food,glycemic_control,1
N014,R010,"After taking diabetes medicine, I ate a lot of rice",antidiabetic,high_carb,,took_drug,ate_food,,drug_before_food,glycemic_control,1

N015,R011,"I skipped breakfast and took diclofenac",NSAID,,stomach pain,skipped_meal,took_drug,,meal_before_drug,empty_stomach_irritation,1
N016,R011,"I took a painkiller without eating and felt stomach pain",NSAID,,stomach pain,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,empty_stomach_irritation,1

N017,R012,"I skipped lunch and took my diabetes medicine then felt dizzy",antidiabetic,,dizziness,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,low_sugar,1
N018,R012,"I took my diabetes tablet without eating and felt weak",antidiabetic,,dizziness,skipped_meal,took_drug,felt_symptom,meal_before_drug_then_symptom,low_sugar,1

N019,R013,"I took antibiotics and felt nauseous later",antibiotic,,nausea,took_drug,felt_symptom,,drug_then_symptom,side_effect_variation,1
N020,R013,"After my antibiotic dose, I experienced nausea",antibiotic,,nausea,took_drug,felt_symptom,,drug_then_symptom,side_effect_variation,1

N021,R014,"I took iron tablets with food",iron,food,,took_drug,ate_food,,drug_with_food,absorption_issue,1
N022,R014,"I ate immediately after taking iron supplements",iron,food,,took_drug,ate_food,,drug_before_food,absorption_issue,1

N023,R015,"I took vitamins with my meal",vitamin,food,,took_drug,ate_food,,drug_with_food,absorption_improve,1
