disease,drug_classes,first_line_drugs,second_line_drugs,avoid_drugs,notes,source,severity_level
panic disorder,ssris|benzodiazepines short term|psychotherapy,sertraline|cognitive behavioral therapy,paroxetine|diazepam,alcohol|stimulants,evaluate anxiety severity,dsm 5|nice,severe
vocal cord polyp,voice therapy|surgical excision,voice therapy|microlaryngoscopy,steroid therapy|evaluation,smoking|voice overuse,evaluate ent referral,who|nice guidelines,moderate
turner syndrome,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
cryptorchidism,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
poisoning due to ethylene glycol,fomepizole|hemodialysis|supportive care,fomepizole|iv fluids,ethanol|hemodialysis,delay in emergency care,medical emergency,who|nice guidelines,severe
atrophic vaginitis,local estrogen therapy|lubricants,vaginal estrogen|water based lubricants,ospemifene|systemic estrogen,smoking,common postmenopause,who|nice guidelines,moderate
fracture of the hand,immobilization|analgesics|surgical fixation,splinting|paracetamol,internal fixation|ibuprofen,delay in orthopedic care,evaluate fracture severity,who|nice guidelines,severe
cellulitis or abscess of mouth,antibiotics|incision drainage,amoxicillin|metronidazole,clindamycin|surgical drainage,delay in treatment,evaluate dental infection,who|nice guidelines,severe
eye alignment disorder,patch therapy|corrective lenses|surgery,corrective lenses|patching,strabismus surgery|botulinum toxin,delay in referral,evaluate strabismus,who|nice guidelines,moderate
headache after lumbar puncture,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pyloric stenosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
salivary gland disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
osteochondrosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
injury to the knee,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
metabolic disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
vaginitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
sick sinus syndrome,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
tinnitus of unknown cause,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
glaucoma,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
eating disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
transient ischemic attack,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pyelonephritis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
rotator cuff injury,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
chronic pain disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
problem during pregnancy,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
liver cancer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
atelectasis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
injury to the hand,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
