rule_id,rule_category,drug_keyword,food_keyword,symptom_keyword,event_pattern,risk_type,severity,explanation_template,advice_template,timing_window,confidence_base,clinical_strength
,,,,,,,,,,,,
R001,food_drug,antibiotic,dairy,,took->ate,calcium_antibiotic,1,"Dairy products can reduce the absorption of some antibiotics, especially medicines such as tetracyclines or fluoroquinolones. When the medicine is taken close to milk, yogurt, cheese, or other dairy foods, part of the drug may bind with calcium and may not be absorbed properly. This can reduce how well the antibiotic works.","If your prescribed antibiotic is affected by dairy, take it 2 to 4 hours apart from milk or other dairy products.",2-4h,0.8,strong
R002,food_drug,antibiotic,milk,,took->drank,calcium_antibiotic,1,"Milk contains calcium, and calcium can interfere with the absorption of certain antibiotics. If milk is taken too close to the medicine, the body may absorb less of the antibiotic than expected. This can make the treatment less effective.",Avoid taking milk close to the antibiotic dose unless your healthcare provider says it is safe.,2-4h,0.82,strong
R003,food_drug,levothyroxine,iron,,took->ate,iron_levothyroxine,1,"Iron can reduce the absorption of levothyroxine when both are taken too close together. This means the thyroid medicine may not work as well as intended, which can affect thyroid control. Keeping enough time between them helps the medicine absorb properly.",Take levothyroxine on an empty stomach and keep iron-containing foods or supplements at least 4 hours apart.,4h,0.9,strong
R004,food_drug,levothyroxine,food,,took->ate,absorption_issue,1,"Food can reduce the absorption of levothyroxine if the medicine is taken too close to a meal. As a result, the body may receive less of the medicine than expected, which can reduce its effectiveness. Taking it consistently before الطعام helps improve absorption.","Take levothyroxine on an empty stomach, usually 30 minutes before breakfast, unless your doctor has given different instructions.",30min before,0.92,strong
R005,food_drug,warfarin,leafy greens,,ate,vitk_warfarin,1,"Leafy green vegetables are rich in vitamin K, and vitamin K can affect how warfarin works in the body. The main issue is not that these foods must always be avoided, but that large changes in intake can change the effect of the medicine. A consistent eating pattern is usually more important than complete avoidance.",Do not suddenly increase or decrease leafy green vegetables. Keep your intake consistent and follow INR monitoring advice.,consistent,0.88,strong
R006,food_drug,warfarin,spinach,,ate,vitk_warfarin,1,"Spinach contains a high amount of vitamin K, which can influence the effect of warfarin. If the amount of spinach eaten changes a lot from day to day, it may affect how well warfarin keeps blood clotting under control. Consistency is important when using this medicine.","You do not always need to avoid spinach completely, but keep the amount you eat as consistent as possible.",consistent,0.85,strong
R007,food_drug,sedative,alcohol,,took->drank,cns_alcohol,2,"Alcohol can increase the sedative effect of certain medicines and make you more sleepy, less alert, or dizzy. When alcohol is taken together with a sedating medicine, the effects on the brain can become stronger than expected. This may increase the risk of excessive drowsiness and make daily activities unsafe.",Avoid alcohol while taking sedating medicines.,24h,0.92,strong
R008,food_drug,antibiotic,calcium,,took->ate,calcium_antibiotic,1,"Calcium-containing foods or supplements can reduce the absorption of some antibiotics. When calcium is taken too close to the medicine, less of the antibiotic may enter the bloodstream. This can lower the effectiveness of treatment.","Take calcium-rich foods, dairy products, or calcium supplements 2 to 4 hours away from the antibiotic if advised.",2-4h,0.8,strong
R009,food_drug,levothyroxine,soy,,took->ate,absorption_issue,1,Soy products may reduce the absorption of levothyroxine in some people when taken close to the medicine. This can make thyroid treatment less consistent and may affect symptom control. Taking the medicine separately helps improve absorption.,"Avoid taking soy foods very close to levothyroxine, and follow a consistent routine each day.",4h,0.75,moderate
R010,food_drug,antidiabetic,high_carb,,took->ate,glycemic_control,1,"A high-carbohydrate meal can raise blood glucose levels and may reduce how well antidiabetic medicines control blood sugar. This does not always mean the medicine fails, but it can make glucose control less stable. Meal size and carbohydrate content are important when using diabetes medicines.","Prefer balanced meals, monitor blood sugar when needed, and follow the meal plan recommended for your diabetes treatment.",2h,0.7,moderate
,,,,,,,,,,,,
R011,timing,NSAID,,stomach pain,skipped->took,empty_stomach_irritation,1,"Taking certain painkillers on an empty stomach can irritate the stomach lining and may lead to stomach pain, burning, or discomfort. Some NSAIDs are better tolerated when taken with food because food helps reduce direct irritation to the stomach.","If your medicine instructions allow it, take the painkiller with food or after a meal.",with food,0.9,strong
R012,timing,antidiabetic,,dizziness,skipped->took,low_sugar,1,"Skipping meals while taking antidiabetic medicine can increase the risk of low blood sugar. When the medicine lowers glucose levels but the body has not received enough food, blood sugar may drop too low and cause symptoms such as dizziness, weakness, shakiness, or sweating. This can happen even if the medicine is taken correctly.","Do not skip meals while taking diabetes medicine, and try to eat at regular times each day.",meal required,0.88,strong
R013,timing,antibiotic,,nausea,took->felt,side_effect_variation,0,"Some antibiotics can cause nausea or stomach discomfort, and the timing of the dose may affect how strongly these symptoms are felt. This does not always mean there is a serious interaction, but it may mean the medicine is irritating the stomach or was taken under less suitable conditions.","Follow the instructions given for that antibiotic, and seek advice if nausea continues or becomes severe.",varies,0.7,moderate
R014,timing,iron,,none,took->ate,absorption_issue,1,"Food may reduce the absorption of iron supplements when they are taken together. This means the body may absorb less iron than expected, although some people tolerate iron better with food. The best timing depends on both absorption and side effects.","If your stomach tolerates it, iron is often better absorbed on an empty stomach. Follow your prescribed instructions.",empty stomach,0.85,strong
R015,timing,vitamin,,none,took->ate,absorption_improve,0,"Some vitamins are absorbed better when taken with food, especially when food helps digestion or improves uptake of fat-soluble nutrients. Taking them with a meal may support better absorption and reduce stomach upset in some people.",Take the vitamin with food if your instructions recommend it.,with food,0.75,strong
R016,timing,antibiotic,,none,took->ate,absorption_variation,0,"Food can change how quickly some antibiotics are absorbed. In some cases this has little effect, while in others it may reduce absorption or delay the medicine’s action. The correct timing depends on the specific antibiotic.",Follow the timing instructions given for your prescribed antibiotic.,varies,0.65,moderate
R017,timing,thyroid,food,,took->ate,absorption_issue,1,Food can reduce the absorption of thyroid medication when the dose is taken too close to a meal. This may lower the amount of medicine absorbed and make treatment less consistent. Taking it the same way each day helps keep thyroid control stable.,"Take thyroid medicine before meals as instructed, usually on an empty stomach.",30min before,0.88,strong
R018,timing,diabetes,,dizziness,skipped->took->felt,low_sugar,1,"Dizziness can occur if diabetes medicine is taken without eating enough food. When the medicine lowers blood sugar but the body has not received an adequate meal, the glucose level may drop too low and cause symptoms such as dizziness, weakness, shakiness, or sweating. This is more likely when meals are skipped or delayed.","Try to eat regular meals while taking diabetes medicine, and do not skip or delay meals unless your doctor has advised you to do so.",meal required,0.85,strong
,,,,,,,,,,,,
R019,lifestyle,anxiety,coffee,,took->drank,caffeine_effect,1,"Caffeine can increase alertness and may worsen anxiety symptoms such as nervousness, restlessness, a fast heartbeat, or difficulty sleeping. In some people, this can make it harder to feel the full benefit of anxiety treatment. Sensitivity to caffeine varies from person to person.",Limit coffee and other caffeinated drinks if they make anxiety symptoms worse.,same day,0.75,moderate
R020,lifestyle,sedative,alcohol,drowsiness,took->drank->felt,cns_alcohol,2,"Alcohol can strengthen the effect of sedative medicines and make drowsiness more severe. When alcohol is consumed after taking a sedative, it may further slow brain activity, reduce alertness, and make the person feel unusually sleepy or less able to function safely. This combination can increase the risk of excessive sedation and should be avoided.",Do not drink alcohol while using sedative medicines.,24h,0.92,strong
