rule_id,condition,avoid_drugs,message
R1,pregnant=1,warfarin|isotretinoin|methotrexate,contraindicated in pregnancy. consult specialist immediately.
R2,pregnant=1,ibuprofen|nsaid,avoid NSAIDs especially in third trimester.
R3,age<12,aspirin,avoid aspirin in children due to risk of reye syndrome.
R4,kidney_disease=1,nsaid|ibuprofen|diclofenac|naproxen,avoid NSAIDs in kidney disease.
R5,liver_disease=1,paracetamol|acetaminophen,use caution with paracetamol in liver disease.
R6,hypertension=1,decongestant|pseudoephedrine,decongestants may increase blood pressure.
R7,diabetes=1,systemic_corticosteroid,steroids may raise blood glucose levels.
R8,asthma=1,beta_blocker,non selective beta blockers may worsen asthma.
R9,allergy_penicillin=1,amoxicillin|penicillin|ampicillin,avoid penicillin class antibiotics.
R10,arrhythmia=1,macrolide|azithromycin|clarithromycin,macrolides may prolong QT interval.
R11,age>65,benzodiazepine_long_term,avoid long term benzodiazepines in elderly due to fall risk.
R12,peptic_ulcer=1,nsaid|aspirin,avoid NSAIDs in active peptic ulcer disease.
R13,pregnant=1,ace_inhibitor,ACE inhibitors contraindicated in pregnancy.
R14,breastfeeding=1,isotretinoin,contraindicated during breastfeeding.
R15,renal_impairment=1,metformin,use caution with metformin in renal impairment.
R16,liver_disease=1,statin,monitor liver enzymes with statins.
R17,heart_failure=1,nsaid,NSAIDs may worsen heart failure.
R18,glaucoma=1,anticholinergic,anticholinergics may increase intraocular pressure.
R19,thyroid_disorder=1,amiodarone,amiodarone may affect thyroid function.
R20,bleeding_disorder=1,antiplatelet|anticoagulant,use caution due to bleeding risk.
