brand_name,generic_name,contains,uses,dosage_info,warnings,side_effets,availability_sri_lanka
Alaxan,Ibuprofen + Paracetamol ,"Ibuprofen 200 mg
Paracetamol 325 mg","Alaxan is a pain reliever and anti-inflammatory medicine. It is commonly used to treat:                                                        Headache and migraine
Toothache
Muscle pain and joint pain
Menstrual cramps
Fever
Mild to moderate body pain","Adults: 1 tablet every 6–8 hours after meals
Maximum: Do not exceed 6 tablets per day
Children: Only with medical advice","Not recommended for patients with gastric ulcers, kidney disease, or heart disease
Avoid alcohol while taking this medicine
Long-term use may cause stomach bleeding","Stomach pain or discomfort
Nausea or vomiting
Dizziness
Rare: stomach ulcers or kidney problems","Widely available in pharmacies
Usually sold without prescription (OTC)"
Bactidol,Hexetidine,Hexetidine 0.1%,"Bactidol is an antiseptic mouthwash/gargle used for:
Sore throat
Mouth ulcers
Gingivitis (gum infections)
Oral and throat infections
After dental procedures","Gargle 10–15 ml (undiluted)
Use 2–3 times daily
Do not swallow","Not recommended for children under 6 years
Avoid eating or drinking for 30 minutes after use
Do not swallow the solution","Mild burning sensation
Temporary taste disturbance
Rare allergic reactions","Available in pharmacies
No prescription required"
Bioflu,Paracetamol + Phenylephrine + Chlorpheniramine,"Paracetamol 500 mg
Phenylephrine HCl 10 mg
Chlorphenamine Maleate 2 mg","Bioflu is used to relieve flu and cold symptoms, including:
Fever
Headache
Runny nose
Nasal congestion
Sneezing
Body aches","Adults: 1 tablet every 6 hours
Maximum: 4 tablets per day","Causes drowsiness – avoid driving
Not suitable for patients with high blood pressure or glaucoma
Avoid alcohol","Drowsiness
Dry mouth
Dizziness
Nausea",Commonly available OTC
Biogesic,Paracetamol (Acetaminophen),Paracetamol 500mg,"Biogesic is a fever reducer and mild pain reliever used for:
Fever
Headache
Toothache
Mild body pain","Adults: 500–1000 mg every 4–6 hours
Maximum: 4000 mg per day","Overdose can cause severe liver damage
Avoid alcohol
Use with caution in liver disease","Rare at correct doses
Allergic skin reactions (rare)",Widely available OTC
DayZinc,Zinc Sulfate / Zinc Gluconate,Elemental Zinc (usually 10–20 mg),"DayZinc is a nutritional supplement used for:
Boosting immunity
Reducing duration of colds
Supporting wound healing
Treating zinc deficiency",Adults: 1 tablet daily after meals,"Excess zinc may cause toxicity
Do not take on an empty stomach","Nausea
Metallic taste
Stomach upset",Available OTC
Decolgen,Paracetamol + Phenylephrine + Chlorpheniramine,"Paracetamol 325 mg
Phenylpropanolamine HCl 25 mg
Chlorphenamine Maleate 2 mg","Cold and flu symptoms
Nasal congestion
Fever
Headache",Adults: 1 tablet every 6 hours,"Avoid in hypertension patients
Causes drowsiness","Sleepiness
Dry mouth
Dizziness",Available OTC
Fish Oil,Omega-3 Fatty Acids (EPA & DHA),"Eicosapentaenoic acid (EPA)
Docosahexaenoic acid (DHA)","Heart health
Brain function
Joint pain
Reducing cholesterol",1–2 capsules daily with meals,High doses may increase bleeding risk,"Fishy burps
Mild stomach upset",Widely available
Kremil S,Aluminum Hydroxide + Magnesium Hydroxide + Simethicone,Aluminum Hydroxide                                                                                            Magnesium Hydroxide                                                                                          Simethicone,"Acid reflux
Heartburn
Gastritis
Indigestion",1–2 tablets after meals,Avoid severe kidney disease,Constipation or diarrhea,Commonly available OTC
Medicol,Ibuprofen,"ibuprofen (Common strengths: 200 mg, 400 mg tablets)","Medicol is used to treat mild to moderate pain and inflammation, including:
Headache and migraine
Toothache
Muscle pain and back pain
Joint pain and arthritis
Menstrual cramps (dysmenorrhea)
Fever
Post-injury pain and swelling","Adults:200–400 mg every 6–8 hours,Maximum daily dose: 1200 mg (OTC use)(Higher doses only under medical supervision)
Children:Dose is based on body weight,Must be given only with medical advice
Administration:Take after meals to reduce stomach irritation , Swallow with a full glass of water","Medicol should be used with caution or avoided in patients with:
 History of gastric ulcers or gastrointestinal bleeding
 Kidney disease
 Heart disease or hypertension
 Asthma triggered by NSAIDs
 Pregnancy (especially third trimester)
Avoid long-term use without medical supervision.","Stomach pain or discomfort
Nausea or vomiting
Heartburn
Dizziness","Widely available in pharmacies
Usually sold over the counter (OTC)"
Neozep,Paracetamol + Phenylephrine Hydrochloride + Chlorphenamine Maleate,"Paracetamol – 500 mg
Phenylephrine HCl – 10 mg
Chlorphenamine Maleate – 2 mg","Neozep is a combination cold and flu medication used for symptomatic relief of:
Fever
Headache
Body aches
Runny nose
Sneezing
Nasal congestion (blocked nose)
Sinus pressure
Watery eyes
Mild sore throat associated with cold or flu

","Adults & Children over 12 years:1 tablet every 6 hours,Maximum: 4 tablets per day
Children under 12 years:Only with medical advice",May cause drowsiness avoid alcohol,"Drowsiness
Dry mouth
Dizziness
Nausea
Headache
","Widely available in pharmacies
Usually sold over-the-counter (OTC)
Available as tablets and sometimes syrup formulations"
