drug_a,drug_b,brand_a,brand_b,base_risk,is_extended_release_a,is_extended_release_b,is_delayed_release_a,is_delayed_release_b,route_match,strength_ratio,same_manufacturer,has_patent_a,has_patent_b,risk_modifier,actual_risk_change,explanation
paroxetine,tamoxifen,PAXIL CR,NOLVADEX,0.72,1,0,0,0,1,0.625,0,0,0,potentiates,-0.04,"Extended release coating on Paxil CR may slow absorption reducing peak concentration interaction"
warfarin,aspirin,COUMADIN,BAYER ASPIRIN,0.85,0,0,0,0,1,1.0,0,0,0,potentiates,0.05,"Immediate release formulations maximize concurrent peak levels"
metformin,glipizide,GLUCOPHAGE XR,GLUCOTROL XL,0.45,1,1,0,0,1,1.0,0,0,0,mitigates,-0.10,"Both extended release formulations reduce peak concentration overlap"
metformin,glipizide,GLUCOPHAGE,GLUCOTROL,0.45,0,0,0,0,1,1.0,0,0,0,neutral,0.0,"Immediate release forms have standard interaction profile"
omeprazole,clopidogrel,PRILOSEC,PLAVIX,0.78,0,0,1,0,1,1.0,0,0,0,potentiates,0.08,"Delayed release omeprazole still inhibits CYP2C19 affecting clopidogrel activation"
omeprazole,clopidogrel,PRILOSEC OTC,PLAVIX,0.78,0,0,1,0,1,0.5,0,0,0,mitigates,-0.03,"Lower strength OTC formulation may have reduced CYP2C19 inhibition"
levothyroxine,calcium,SYNTHROID,CALTRATE,0.65,0,0,0,0,1,1.0,0,0,0,potentiates,0.0,"Standard tablet formulations have typical absorption interference"
levothyroxine,calcium,TIROSINT,CALTRATE,0.65,0,0,0,0,1,1.0,0,0,0,mitigates,-0.12,"Liquid-filled capsule formulation of Tirosint improves absorption despite calcium"
ciprofloxacin,antacid,CIPRO,MAALOX,0.70,0,0,0,0,1,1.0,0,0,0,potentiates,0.05,"Standard tablet has full chelation interaction with antacids"
ciprofloxacin,antacid,CIPRO XR,MAALOX,0.70,1,0,0,0,1,1.0,0,0,0,mitigates,-0.08,"Extended release matrix may reduce chelation window"
fluoxetine,tramadol,PROZAC,ULTRAM,0.82,0,0,0,0,1,1.0,0,0,0,potentiates,0.03,"SSRI-opioid serotonin syndrome risk with immediate release forms"
fluoxetine,tramadol,PROZAC WEEKLY,ULTRAM ER,0.82,1,1,0,0,1,1.0,0,0,0,mitigates,-0.07,"Both extended release reduces peak serotonin surge risk"
simvastatin,amlodipine,ZOCOR,NORVASC,0.68,0,0,0,0,1,1.0,0,0,0,neutral,0.0,"Standard tablet interaction through CYP3A4 inhibition"
simvastatin,diltiazem,ZOCOR,CARDIZEM CD,0.75,0,1,0,0,1,1.0,0,0,0,mitigates,-0.05,"Extended release diltiazem may reduce peak CYP3A4 inhibition"
phenytoin,valproic_acid,DILANTIN,DEPAKOTE,0.72,0,0,0,1,1,1.0,0,0,0,mitigates,-0.06,"Delayed release valproate reduces protein binding displacement peak"
phenytoin,valproic_acid,DILANTIN,DEPAKENE,0.72,0,0,0,0,1,1.0,0,0,0,potentiates,0.04,"Immediate release valproate maximizes protein binding competition"
digoxin,amiodarone,LANOXIN,CORDARONE,0.80,0,0,0,0,1,1.0,0,0,0,potentiates,0.02,"Standard formulations have full interaction potential"
digoxin,amiodarone,LANOXIN,PACERONE,0.80,0,0,0,0,1,1.0,0,0,0,neutral,0.0,"Similar formulation profile to branded amiodarone"
