id,text,drug_raw,drug_normalized,food_raw,food_category,symptom,event_sequence,temporal_relation,interaction_category,severity,is_interaction_present,confidence_label,notes
N001,I took amoxicillin and then drank milk,amoxicillin,amoxicillin,milk,dairy_or_calcium,none,took_drug|drank_food,drug_before_food,absorption_effect,1,TRUE,medium,source_rule=R002; rule_category=food_drug; clinical_strength=strong; confidence_base=0.82
N002,"After taking my antibiotic, I had a glass of milk",antibiotic,antibiotic,milk,dairy_or_calcium,none,took_drug|drank_food,drug_before_food,absorption_effect,1,TRUE,medium,source_rule=R002; rule_category=food_drug; clinical_strength=strong; confidence_base=0.82
N003,I drank milk right after taking amoxicillin,amoxicillin,amoxicillin,milk,dairy_or_calcium,none,took_drug|drank_food,drug_before_food,absorption_effect,1,TRUE,medium,source_rule=R002; rule_category=food_drug; clinical_strength=strong; confidence_base=0.82
N004,I had yogurt after my antibiotic dose,antibiotic,antibiotic,yogurt,dairy_or_calcium,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,medium,source_rule=R001; rule_category=food_drug; clinical_strength=strong; confidence_base=0.8
N005,I took my antibiotic and ate yogurt soon after,antibiotic,antibiotic,yogurt,dairy_or_calcium,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,medium,source_rule=R001; rule_category=food_drug; clinical_strength=strong; confidence_base=0.8
N006,I took levothyroxine and later ate iron-rich food,levothyroxine,levothyroxine,iron,iron_rich,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R003; rule_category=food_drug; clinical_strength=strong; confidence_base=0.9
N007,"After taking my thyroid medicine, I ate spinach with iron",levothyroxine,levothyroxine,iron,iron_rich,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R003; rule_category=food_drug; clinical_strength=strong; confidence_base=0.9
N008,I took levothyroxine and then had breakfast,levothyroxine,levothyroxine,food,general_food,none,took_drug|ate_food,drug_before_food,absorption_effect,1,TRUE,high,source_rule=R004; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N009,I ate spinach while on warfarin,warfarin,warfarin,spinach,leafy_green_high_vitk,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R005; rule_category=food_drug; clinical_strength=strong; confidence_base=0.88
N010,I had a salad with leafy greens during warfarin treatment,warfarin,warfarin,leafy greens,leafy_green_high_vitk,none,ate_food,food_only,possible_interaction,1,TRUE,high,source_rule=R005; rule_category=food_drug; clinical_strength=strong; confidence_base=0.88
N011,I took my sedative and drank alcohol at night,sedative,sedative,alcohol,alcohol,none,took_drug|drank_food,drug_before_food,possible_interaction,2,TRUE,high,source_rule=R007; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N012,I had alcohol after taking sleeping pills,sedative,sedative,alcohol,alcohol,none,took_drug|drank_food,drug_before_food,possible_interaction,2,TRUE,high,source_rule=R007; rule_category=food_drug; clinical_strength=strong; confidence_base=0.92
N013,I took metformin and ate a high carb meal,metformin,metformin,high_carb,high_sugar_or_high_carb,none,took_drug|ate_food,drug_before_food,possible_interaction,1,TRUE,medium,source_rule=R010; rule_category=food_drug; clinical_strength=moderate; confidence_base=0.7
N014,"After taking diabetes medicine, I ate a lot of rice",antidiabetic,antidiabetic,high_carb,high_sugar_or_high_carb,none,took_drug|ate_food,drug_before_food,possible_interaction,1,TRUE,medium,source_rule=R010; rule_category=food_drug; clinical_strength=moderate; confidence_base=0.7
