symptom,drug_classes,first_line_drugs,second_line_drugs,avoid_drugs,notes,source,severity_level
anxiety and nervousness,ssri|snri|benzodiazepine_short_term|beta_blocker,escitalopram|sertraline,buspirone|diazepam,long_term_benzodiazepines|caffeine|stimulant,cbt therapy recommended. benzodiazepines short duration only.,nice|dsm5|mayo_clinic,mild_moderate
depression,ssri|snri|atypical_antidepressants,fluoxetine|sertraline,venlafaxine|bupropion,maoi|alcohol,monitor suicide risk and combine with cbt,nice|who|dsm5,moderate_severe
shortness of breath,bronchodilator|corticosteroid,salbutamol inhaler,ipratropium bromide|prednisolone,sedative|opioid,identify underlying cause such as asthma copd cardiac or anxiety,gina|gold|aha,variable
depressive or psychotic symptoms,antidepressant|antipsychotic,sertraline|risperidone,olanzapine|quetiapine,benzodiazepines_long_term|alcohol,requires psychiatric evaluation and suicide risk monitoring,apa|dsm5,severe
sharp chest pain,nsaid|antiplatelet|nitrate,aspirin|nitroglycerin,morphine|beta blockers,nsaids_in_peptic_ulcer|delay_in_emergency_care,rule out myocardial infarction and seek urgent evaluation,aha|acc,severe
dizziness,antihistamine|anticholinergics|benzodiazepine,meclizine|betahistine,diazepam|prochlorperazine,alcohol|sedative,identify underlying cause such as vertigo hypotension or dehydration,mayo_clinic|nice|who,mild_moderate
insomnia,nonbenzodiazepine_hypnotic|melatonin_receptor_agonist|sedating_antidepressant,zolpidem|melatonin,trazodone|eszopiclone,alcohol|long_term_benzodiazepines,emphasize sleep hygiene and cognitive behavioral therapy for insomnia,nice|aasm|mayo_clinic,mild_moderate
abnormal involuntary movements,dopamine_depleting_agent|benzodiazepine|anticholinergics,tetrabenazine|clonazepam,trihexyphenidyl|valbenazine,antipsychotics_causing_tardive_dyskinesia|stimulant,assess for medication induced movement disorders such as tardive dyskinesia or parkinsonism,apa|nice|who,moderate_severe
chest tightness,bronchodilator|corticosteroid|antihistamine,salbutamol inhaler|prednisolone,ipratropium bromide|montelukast,beta_blockers_in_asthma|smoking,evaluate for asthma allergy or cardiac causes,gina|aha|mayo_clinic,moderate_severe
palpitations,beta_blocker|antiarrhythmic,propranolol|metoprolol,amiodarone|verapamil,stimulant|excess_caffeine,assess thyroid levels anxiety and cardiac rhythm,aha|acc|mayo_clinic,mild_moderate
