interaction_category,severity,drug_keyword,food_keyword,extra_keywords,explanation,advice,timing_window,clinical_strength,confidence_base
absorption_effect,1,antibiotic,milk,"calcium dairy yogurt antibiotic amoxicillin doxycycline","Milk contains calcium, and calcium can interfere with the absorption of certain antibiotics. If milk is taken too close to the medicine, the body may absorb less of the antibiotic than expected. This can make the treatment less effective.","Avoid taking milk close to the antibiotic dose unless your healthcare provider says it is safe.",2-4h,strong,0.82
absorption_effect,1,levothyroxine,food,"thyroid breakfast meal empty stomach","Food can reduce the absorption of levothyroxine if the medicine is taken too close to a meal. As a result, the body may receive less of the medicine than expected, which can reduce its effectiveness. Taking it consistently before meals helps improve absorption.","Take levothyroxine on an empty stomach, usually 30 minutes before breakfast, unless your doctor has given different instructions.",30min before,strong,0.92
absorption_effect,1,iron,food,"iron supplement meal absorption","Food can reduce or delay the absorption of iron supplements in some cases. The effect depends on the type of food and timing, but taking iron consistently as advised helps maintain effectiveness.","Follow the timing instructions for iron supplements and avoid taking them with interfering foods if advised.",varies,moderate,0.75
absorption_effect,1,medicine,high_fat,"fat fatty heavy meal absorption","A high-fat meal may slow the absorption of some medicines and delay how quickly they start working. In some situations this is not a major problem, but for certain medicines it can change the expected timing or strength of effect.","Avoid very heavy or high-fat meals near medicine time if your instructions recommend it.",2h,heuristic,0.65

better_with_food,0,vitamin,food,"meal with food supplement","Some vitamins are absorbed better when taken with food, especially when food helps digestion or improves uptake of fat-soluble nutrients. Taking them with a meal may support better absorption and reduce stomach upset in some people.","Take the vitamin with food if your instructions recommend it.",with food,strong,0.75

possible_interaction,0,caffeine,coffee,"tea caffeinated anxiety palpitations","Caffeine can increase alertness and may worsen anxiety symptoms such as nervousness, restlessness, a fast heartbeat, or difficulty sleeping. Sensitivity varies between individuals.","Limit coffee and other caffeinated drinks if they worsen symptoms.",same day,moderate,0.75
possible_interaction,1,alcohol,sedative,"sleeping pill sleeping pills benzodiazepine sleepy drowsy","Alcohol can increase the sedative effect of certain medicines and make you more sleepy, less alert, or dizzy. This combination can make daily activities unsafe.","Avoid alcohol while taking sedating medicines.",24h,strong,0.92
possible_interaction,1,grapefruit,statin,"juice atorvastatin simvastatin cholesterol","Grapefruit can affect how certain statins are broken down, leading to higher drug levels and increased risk of side effects.","Avoid grapefruit or grapefruit juice unless confirmed safe.",24h,strong,0.9
possible_interaction,1,iron,levothyroxine,"thyroid supplement gap 4 hours","Iron can reduce the absorption of levothyroxine when taken together, making the medicine less effective.","Keep at least 4 hours gap between iron and levothyroxine.",4h,strong,0.9
possible_interaction,0,alcohol,general,"medicine medicines drug drugs","Alcohol can interact with many medicines in different ways, including increasing drowsiness or stomach irritation. The exact risk depends on the medicine.","Limit or avoid alcohol while taking medicine.",general,moderate,0.7
possible_interaction,0,sugar,food,"diabetes glucose carb sweet sugary rice","High sugar intake can affect blood glucose control and make diabetes management more difficult.","Limit sugary foods and follow dietary advice.",daily,strong,0.8
possible_interaction,0,salt,food,"sodium hypertension pressure salty","High sodium intake can increase blood pressure and reduce the effectiveness of hypertension treatment.","Reduce salt intake and avoid high-sodium processed foods.",daily,strong,0.9
possible_interaction,0,smoking,air,"asthma smoke wheeze cigarette trigger","Smoking can worsen respiratory conditions and reduce the effectiveness of treatment.","Avoid smoking and reduce exposure.",continuous,strong,0.95
possible_interaction,0,vitamin_k,vegetables,"warfarin spinach leafy greens salad","Vitamin K intake can affect warfarin therapy. Sudden changes in intake may alter treatment effectiveness.","Maintain consistent intake of leafy greens.",consistent,strong,0.88

side_effect,0,nsaid,empty_stomach,"painkiller diclofenac ibuprofen stomach pain irritation","Taking certain painkillers on an empty stomach can irritate the stomach lining and cause discomfort.","Take the medicine with food if allowed.",with food,strong,0.9
side_effect,0,antidiabetic,skipped_meal,"diabetes diabetic breakfast lunch meal dizzy weakness low sugar","Skipping meals while taking diabetes medicine can cause low blood sugar.","Eat regular meals and avoid skipping food.",meal required,strong,0.88
side_effect,0,antibiotic,none,"nausea stomach discomfort later","Some antibiotics may cause nausea or stomach discomfort depending on timing.","Follow instructions and consult if symptoms worsen.",varies,moderate,0.7

missed_dose,1,medicine,none,"forgot forgotten missed yesterday dose","Missing doses can reduce treatment effectiveness.","Follow the dosing schedule and missed-dose instructions.",schedule,strong,0.95

overdose,2,medicine,none,"double extra too much overdose","Taking more than the prescribed dose can be harmful and increase side effects.","Seek medical advice immediately if overdose occurs.",immediate,strong,0.95

no_clear_interaction,0,none,none,"no interaction clear none","No clear interaction identified from available information.","Follow standard instructions and consult if unsure.",none,general,0.6

insufficient_information,0,none,none,"unknown unclear not enough information","Not enough information to determine interaction.","Provide more details for accurate assessment.",unknown,general,0.5
